Date,Close,High,Low,Open,Volume
,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS
2020-08-27,859.9413452148438,866.0075933376221,856.0651165848856,860.9878843594129,4518315
2020-08-28,847.789306640625,865.5618404310693,845.1728405600551,864.3989600456434,5814245
2020-08-31,826.5476684570312,857.6156405968585,817.2350427582667,847.9250683867244,5944120
2020-09-01,843.4577026367188,848.0994652886669,820.210030088986,827.7880052733398,4063205
2020-09-02,843.6127319335938,852.2664056145983,836.6258673894461,843.3220266034901,3018485
2020-09-03,859.1951904296875,865.5619033346976,841.1707501586193,847.837809283371,4691970
2020-09-04,837.7499389648438,868.9438922101489,831.8290137417696,852.7703253777472,6774000
2020-09-07,856.617431640625,859.7475264955078,832.4685437094585,841.9459511501154,6153985
2020-09-08,842.8471069335938,868.5658608970642,838.9708785603867,865.3679843184786,7357755
2020-09-09,858.47802734375,861.2979575421188,840.288806250897,843.0602954225136,6175435
2020-09-10,848.9232177734375,864.7866796013068,841.2482420692847,864.3990330579041,4355845
2020-09-11,853.0803833007812,861.8794386385396,847.9249922503129,852.7702779203147,4434725
2020-09-14,845.8124389648438,857.353883190285,840.3663427054197,857.353883190285,2924530
2020-09-15,860.9782104492188,881.6482168067001,847.4502099739772,847.915338496788,12522330
2020-09-16,896.93994140625,901.37818060706,854.9022371350094,863.4299283012664,14898945
2020-09-17,935.5762329101562,939.1229560380426,902.1825023849703,911.6889506160352,42149590
2020-09-18,1033.6641845703125,1065.3717046492623,959.4149747851501,969.0571048072931,109935390
2020-09-21,996.5784301757812,1068.414643848693,990.6187048445793,1033.6642674782254,63716980
2020-09-22,1001.6077880859375,1019.4481640793989,979.7168192816277,1010.5328852469007,38516740
2020-09-23,989.9403076171875,1023.3243378547327,980.5695416526021,1018.6728162745136,25066590
2020-09-24,974.3676147460938,1008.3814988150456,969.5417288159174,980.6858866183993,25989895
2020-09-25,990.8028564453125,998.7103372567177,977.584901901909,992.3145833274881,17571115
2020-09-28,994.2235107421875,1007.819410604437,986.6551769572606,1007.8097105697328,12487900
2020-09-29,985.3760375976562,999.0881599356968,981.9261967224966,994.2525745191735,7146485
2020-09-30,1005.4550170898438,1030.689185432719,985.5311448344246,988.4383163531102,26977680
2020-10-01,990.7737426757812,1018.672878082271,986.1901210612606,1012.6647707786294,11385685
2020-10-05,999.9701538085938,1005.8813791023058,989.0197600714475,1002.0051502811024,9188390
2020-10-06,995.5125732421875,1013.0039858572269,990.8029099943,999.9702129917735,8450035
2020-10-07,989.3976440429688,1006.8503726708075,987.1203834130665,997.15980123028,7912070
2020-10-08,1006.7342529296875,1010.6879641296302,979.9107539533112,996.9661979275849,11102775
2020-10-09,998.7103271484375,1019.060528358362,995.4155090082076,998.3226806096254,11669875
2020-10-12,1011.7926025390625,1015.1843027513908,990.5702852698578,999.6987875660021,9678985
2020-10-13,1001.7628784179688,1031.619587468611,999.6502816773888,1013.6338290932965,16819870
2020-10-14,992.8959350585938,1011.6471673058651,986.6649046639378,1002.9741531059128,9322630
2020-10-15,979.9590454101562,1001.0360384758383,972.9527811248754,997.8672026604451,8842090
2020-10-16,984.6686401367188,993.2835723397949,972.933372321126,976.0343670104245,10115525
2020-10-19,980.3273315429688,1010.7266509139979,977.2069366295749,1009.9513578434145,10753270
2020-10-20,982.8468627929688,990.3764561467362,975.0556642154557,980.0947734733026,6901450
2020-10-21,978.1177978515625,987.7696282315973,950.9454570150847,987.7696282315973,8006955
2020-10-22,973.3211059570312,977.7206044906684,936.30310792322,976.1701365805174,24590740
2020-10-23,972.5943603515625,986.6941319117606,968.2820436367984,978.9416736907239,9087405
2020-10-26,964.812744140625,981.0735526740781,959.6089116036684,970.6076873862987,7040385
2020-10-27,988.322021484375,993.6712359367018,961.4015851780104,967.119046083015,9217170
2020-10-28,959.5604248046875,998.1288884716599,953.5522585010809,990.3764310854722,18141410
2020-10-29,957.8064575195312,976.8096549650971,948.6972962054798,953.5522822278328,11551185
2020-10-30,947.4762573242188,964.8030044279376,943.8907930767895,964.01807047829,6316955
2020-11-02,941.661865234375,953.5522151366035,934.3260956687153,948.9007527457356,5854965
2020-11-03,945.2861938476562,953.5522801133768,936.3224147917124,940.1793026484154,7304100
2020-11-04,956.5757446289062,962.2350647374607,945.2959045538416,950.0152084161949,7607400
2020-11-05,961.0139770507812,968.9214572844473,953.9592126850272,963.7757662396752,5170230
2020-11-06,950.2478637695312,961.8668505986841,947.9027026662351,961.8668505986841,5452210
2020-11-09,945.7320556640625,960.1419325562919,943.8617822280769,954.5214122121722,6028255
2020-11-10,910.526123046875,943.4740679042472,906.9212586469455,934.9463763587095,9830150
2020-11-11,946.2164916992188,953.532861552072,909.188795694471,916.728088917565,13535220
2020-11-12,935.498779296875,954.5213775735425,931.264003906776,944.8308052123898,6582350
2020-11-13,941.3228149414062,946.7398117242849,936.1189823583561,939.9855112349348,5459350
2020-11-14,944.259033203125,949.2884426126253,936.1092878910032,946.0324245020919,676080
2020-11-17,927.2230834960938,945.7707946781233,924.4806348630831,944.8308375173019,6416065
2020-11-18,911.6502075195312,929.3258003484237,906.0684289111327,927.3876860619829,6500295
2020-11-19,912.4060668945312,932.5818442791577,902.5798721383928,906.0684542930916,8836445
2020-11-20,905.2835083007812,921.0500871796812,902.444177926987,916.7280709646147,4774680
2020-11-23,935.8670043945312,943.8617264098094,905.312602047611,908.0066094928044,10763015
2020-11-24,952.6799926757812,957.4283960313179,927.5426496286922,939.9853685732575,9611490
2020-11-25,931.5159301757812,972.3520146316729,926.6125031273285,968.6695499677082,13295580
2020-11-26,949.9376831054688,955.3546795188913,925.2170254397946,932.2329898291138,8336175
2020-11-27,935.9057006835938,956.5660065961773,932.0779721884912,949.8698475919738,10018690
2020-12-01,936.186767578125,943.8616838053216,931.4577638556716,943.8616838053216,5585950
2020-12-02,940.0338745117188,947.5440674081086,932.4267995591586,940.3924209247252,6117260
2020-12-03,954.143310546875,957.2346051055109,938.5512147091536,943.8616287654546,5174465
2020-12-04,951.3331909179688,961.4113505834922,942.3306114318984,957.4285395785976,6998410
2020-12-07,974.697021484375,983.3991353339129,950.6644171827749,955.4903026241014,12029520
2020-12-08,972.0031127929688,984.5621154002844,960.5101085938047,978.7477721991015,6638505
2020-12-09,980.0850219726562,988.4382898472884,973.9024326436518,973.9024326436518,6767490
2020-12-10,979.3486328125,985.8025872166033,971.9644213026237,980.2982899901634,4741470
2020-12-11,972.34228515625,985.3470157785606,966.1112546689697,979.7361960734388,3839815
2020-12-14,973.4761352539062,979.5230429469703,959.7543108078424,959.7543108078424,5918125
2020-12-15,975.1331176757812,983.7867905764335,971.0339658780127,978.1565711293318,5025520
2020-12-16,976.6061401367188,979.086924217695,970.2200862725934,978.7477778542896,4162280
2020-12-17,983.1763916015625,995.1248836950256,974.8715641217455,978.7477930049333,6803005
2020-12-18,1013.3915405273438,1020.0004584103816,984.2035431546612,984.5620895776058,18525665
2020-12-21,982.343017578125,1022.2002866948897,961.702051437074,1016.1533790944641,9061285
2020-12-22,1000.4158935546875,1002.9742188007156,956.7211367968335,989.930687377464,7764120
2020-12-23,1012.4902954101562,1015.3199850301725,994.4949551883857,1000.3480985518908,4062350
2020-12-24,1008.1683349609375,1016.9286499076362,1001.0360881601206,1016.9286499076362,3378180
2020-12-28,1008.1683349609375,1014.6028889677118,1005.2999635011295,1013.2752853346935,2055865
2020-12-29,1001.1522827148438,1021.1924359179789,997.276054251755,1012.6646859819416,4412165
2020-12-30,1002.189208984375,1006.162438139252,996.6753302965362,1006.162438139252,2376345
2020-12-31,1008.8078002929688,1018.236706567022,1000.2606507731533,1005.8812290426541,6036190
2021-01-01,1015.8335571289062,1018.4499641155589,1007.8194355748892,1011.1626354237354,2915215
2021-01-04,1021.8222045898438,1028.8188867053846,1015.8334979981084,1019.4480620287856,3923440
2021-01-05,1024.66162109375,1034.371592351831,1013.0426357018193,1015.5718605869253,4770920
2021-01-06,1024.9329833984375,1030.1077152806945,1012.8584512823645,1024.661619015356,2713390
2021-01-07,1021.560791015625,1032.0459380746036,1018.0914904645489,1027.3944161068796,3266465
2021-01-08,1034.614013671875,1038.8293891202213,1023.130708728751,1027.181301856358,4045915
2021-01-11,1049.8377685546875,1051.8146830485753,1032.239657107094,1035.7283575770398,4599235
2021-01-12,1037.637451171875,1055.01258143132,1032.908447057131,1054.518352770055,3741860
2021-01-13,1025.262451171875,1041.7364225045044,1015.1842332862332,1039.7983082300773,3296060
2021-01-14,1028.925537109375,1032.6272834021597,1020.4171868759414,1028.1502440661095,2674860
2021-01-15,1010.3003540039062,1030.1078268380447,1006.9667356482837,1030.1078268380447,2577605
2021-01-18,979.1547241210938,1015.174562383948,975.8405651777521,1013.8275587293933,4412055
2021-01-19,986.2870483398438,989.397684044221,976.140988875199,986.1125659978923,3990495
2021-01-20,984.6880493164062,1000.0184814233331,981.6645957316708,988.8840833486821,3398145
2021-01-21,979.1741333007812,995.803128382788,975.627410068287,990.3764318667978,2906620
2021-01-22,976.2088623046875,989.4752579483337,966.1500436779011,978.5055231732804,3815610
2021-01-25,985.0271606445312,993.942557108409,961.304661316363,977.1972217144884,3588895
2021-01-27,951.4784545898438,979.2128659425175,936.6518917828414,979.2128659425175,5261980
2021-01-28,944.2105102539062,950.4415406293353,925.8372245480779,939.0163781263166,5165470
2021-01-29,892.0558471679688,952.5831780225694,881.8420061043114,947.7378922747436,14820975
2021-02-01,858.22607421875,887.2009061806833,851.4232742119449,883.7898061424933,12951700
2021-02-02,868.759765625,877.5781623424928,849.0879166152845,866.1432993983797,18375530
2021-02-03,901.1359252929688,922.8525295552838,880.3787373103175,887.4528428091536,17227025
2021-02-04,904.7021484375,912.0766596245205,895.8158512192941,909.5570753857701,6508800
2021-02-05,930.4693603515625,936.109280505612,896.5039164026945,908.0066209459196,12038405
2021-02-08,941.8848876953125,951.6045009676806,935.1402280736469,942.8926859229621,10792890
2021-02-09,938.8419799804688,948.8426571304402,931.263945769544,939.985460350112,6233845
2021-02-10,934.9561157226562,946.5945026679345,922.7363180905318,939.0164679343856,5767115
2021-02-11,935.14990234375,941.9236027395076,932.2330306948625,934.364968373996,3557750
2021-02-12,928.744384765625,941.8847971917191,927.3876811137336,941.8847971917191,2504510
2021-02-15,912.82275390625,936.797277971787,910.9234397071126,928.7444152560812,4923205
2021-02-16,910.2548217773438,922.8525654545111,905.0994303441776,916.5342935449102,4064700
2021-02-17,891.63916015625,912.8421353315182,887.6563494646331,910.254769301865,5106775
2021-02-18,894.8177490234375,903.9075103614598,883.7801732349022,892.8893346439729,5147530
2021-02-19,907.3184814453125,916.3404009845134,877.9657621898056,891.9202085587285,6392670
2021-02-22,866.1917724609375,916.137019434836,861.133322162754,912.4642547171427,6976565
2021-02-23,871.2114868164062,878.7991617925653,856.7434113707757,871.7637973485561,5317090
2021-02-24,859.6603393554688,876.7545229734127,848.3127171219289,871.2115440452666,3677930
2021-02-25,868.3043212890625,889.594478846714,856.8693994071217,856.8693994071217,8531875
2021-02-26,857.916015625,883.5087899022609,853.7393815160223,864.3990105701383,7534450
2021-03-01,863.1198120117188,867.887556610716,852.8187298143143,861.4918031034405,3545365
2021-03-02,853.6812744140625,868.2558737896838,850.8613439129506,866.9961112261168,9188390
2021-03-03,872.6456909179688,875.2040160692004,857.8094278530543,865.3680620302786,4253070
2021-03-04,886.697021484375,888.3056303818634,861.2980114537119,868.6628815241738,7364955
2021-03-05,870.6978149414062,883.7800859505426,869.0504060220564,881.8419717269669,4131845
2021-03-08,870.6494140625,876.4153159728255,864.9803942091999,872.1514408257223,2782080
2021-03-09,862.1314086914062,876.0277150632446,855.9682190505158,872.3356094707099,2715590
2021-03-10,872.2289428710938,875.9985300894613,863.6334110101037,871.3761678798895,3149805
2021-03-12,857.9063110351562,877.956106488182,853.3711305228868,876.0276921602605,3439260
2021-03-15,841.5776977539062,864.8253694296492,830.4819815042641,864.3989819157568,4608715
2021-03-16,862.4027709960938,865.6975891502366,845.986939584907,848.9135112695906,4678635
2021-03-17,844.2135620117188,865.3680976910023,841.9750421987835,862.402784962873,4769865
2021-03-18,816.4790649414062,848.6033321404099,813.048624028043,846.9559232064644,6054535
2021-03-19,828.4373168945312,834.4260832422789,801.410297620008,815.9461554970336,7062075
2021-03-22,843.84521484375,846.5586220539418,827.2356210218549,828.9120708859597,4336515
2021-03-23,847.3920288085938,853.3516947380352,837.6723572936527,843.0797127016709,3326180
2021-03-24,843.1765747070312,856.452669052845,839.4651285306362,843.1281336804421,3912020
2021-03-25,849.0006713867188,853.1870054999928,830.4335618508869,843.0797462147975,4707080
2021-03-26,853.9331665039062,857.2279253031885,842.633927090976,856.6465146758311,3626590
2021-03-30,875.6788330078125,877.4715651090099,856.8500593414561,858.5749503433439,4331625
2021-03-31,875.2525024414062,881.2025280320171,868.4691018277165,874.0896219354619,3862550
2021-04-01,889.1390380859375,890.5538236756871,876.4249538222671,881.8420093326517,3238200
2021-04-05,883.1212158203125,888.4316303567425,857.4024589895807,883.7801676196349,3661290
2021-04-06,895.263427734375,899.2656385106445,880.2915420278359,883.5863008622889,3711470
2021-04-07,909.4892578125,917.5033204210106,899.4788806450576,903.6070736693287,5568060
2021-04-08,908.79150390625,921.7671936316306,903.3938483618184,909.5085967499223,3303175
2021-04-09,922.6005859375,929.1320219345939,909.2179085095788,909.537713943312,6810735
2021-04-12,968.466064453125,992.3145473380185,909.9446874515619,925.4496022537185,17568825
2021-04-13,925.8953857421875,997.1016285819525,920.8174764838865,997.1016285819525,19686170
2021-04-15,939.1229858398438,944.840446838094,927.3877176311373,938.6094162926627,6934505
2021-04-16,948.3677978515625,957.4284584914172,933.2407708788745,942.6600370769214,5990145
2021-04-19,962.8745727539062,970.0262193425216,931.6612202673175,948.3193152510598,9219640
2021-04-20,999.4371948242188,1009.9030606895992,986.4034218199536,988.4384184345764,17424880
2021-04-22,1007.79052734375,1025.2626594677533,999.8734046318348,1003.9336980809708,12120670
2021-04-23,981.984375,1020.6400188407657,974.8908697334863,1013.2461082307743,11774495
2021-04-26,981.984375,994.2526122021039,974.9199106910858,993.2835550752013,4752885
2021-04-27,980.1528930664062,991.5393148910499,973.1950696362533,986.5970878026326,4789175
2021-04-28,977.672119140625,989.7756339372723,974.8715296763019,985.0563301704645,4219765
2021-04-29,988.884033203125,996.9659954713924,977.2553479602694,982.672344047164,5359655
2021-04-30,1000.6677856445312,1009.9513105202317,993.3126750264497,996.190746360511,6534750
2021-05-03,1005.096435546875,1010.2130862335147,996.1908561717192,1006.6470217863089,4689495
2021-05-04,982.0909423828125,1012.2576358767421,979.5907584718069,1009.9512752175253,3978090
2021-05-05,1000.2510375976562,1008.2070771964719,982.623944912899,990.3764020719751,5055995
2021-05-06,1001.7046508789062,1017.8976766548241,994.2526580103798,1001.0360582112303,4891875
2021-05-07,1002.916015625,1017.3163099136289,1001.2298655371845,1007.8098018697679,3924345
2021-05-10,1032.5401611328125,1044.633976231717,1021.7739496848236,1042.7055618400905,11222420
2021-05-11,1026.4156494140625,1036.8815145986448,1021.6382636132109,1032.045928584501,4724450
2021-05-12,1027.4815673828125,1034.9529596025557,1022.3552175849217,1030.6890847995057,4400825
2021-05-14,1007.208984375,1046.271737164713,1000.0670374920768,1034.6720324956848,14885055
2021-05-17,1017.5682373046875,1019.4481514496706,997.1598363514364,1017.5100370933025,6846935
2021-05-18,1010.8137817382812,1028.1502282143233,1009.7575425749325,1025.310957030686,4550200
2021-05-19,1015.1454467773438,1020.2232961893615,1008.9918399559963,1014.6027180557686,4594605
2021-05-20,1014.8548583984375,1024.4872302394917,1012.6647796507674,1018.479122883212,3879585
2021-05-21,1011.0076904296875,1021.2893727846874,1007.102361653177,1018.6728474558076,3558170
2021-05-24,1021.8030395507812,1027.0068720039667,1012.9942243963427,1014.7966566004114,3532490
2021-05-25,1029.371337890625,1031.0768880711846,1018.4791441379841,1025.1462625820488,3478075
2021-05-26,1024.332275390625,1033.9840473887414,1022.3553608201706,1031.0768757465985,2537400
2021-05-27,1021.1635131835938,1024.0803850721582,1013.6630192681786,1023.0822276791941,3891965
2021-05-28,1006.7632446289062,1023.3243989866464,998.1289118903843,1023.3243989866464,4373725
2021-05-31,1028.9739990234375,1034.03256768194,1002.2280430540538,1011.1143404652589,4338240
2021-06-01,1030.3985595703125,1034.7593169343104,1020.4754233876869,1028.169680711468,3736865
2021-06-02,1029.59423828125,1037.6665609618212,1023.9058768987671,1028.4120168148136,2729755
2021-06-03,1023.818603515625,1034.9530609721858,1020.8048499021622,1029.1387179330163,2833590
2021-06-04,1018.479248046875,1025.2626493183575,1015.9597226618075,1023.8187633683067,2007655
2021-06-07,1011.5406494140625,1022.113096743743,1010.280946011391,1019.6419535301259,1819835
2021-06-08,1022.306884765625,1026.4060962439937,998.1483540934954,1011.69575533866,3663570
2021-06-09,1012.2384033203125,1029.138703401505,1009.3796137238866,1022.9173138519196,2365525
2021-06-10,1025.659912109375,1027.200680007312,1014.1184071958983,1014.1184071958983,1836400
2021-06-11,1056.853759765625,1064.005406640822,1024.9814542291494,1027.2006330732652,7277420
2021-06-14,1058.471923828125,1068.869886663606,1040.7672332517795,1056.8535560288963,4489710
2021-06-15,1048.6845703125,1062.6776981334694,1046.9693203090842,1061.1175303889831,2844075
2021-06-16,1047.763916015625,1057.8227337020985,1035.0112094251488,1048.5198089632636,3492955
2021-06-17,1024.5841064453125,1049.295062188967,1017.2288779764623,1047.7638762823633,3536160
2021-06-18,1024.0802001953125,1035.922049678751,1014.5639931393451,1030.1077070238655,3487140
2021-06-21,1023.7119140625,1027.200495861523,1013.0522862752579,1022.3552105036856,2077445
2021-06-22,1028.819091796875,1031.076952688572,1017.6070327495227,1024.3904337540528,2134275
2021-06-23,1027.0745849609375,1036.8814384737996,1024.7197240647029,1031.4644421900161,2055715
2021-06-24,1022.8689575195312,1030.0980862562665,1017.5197429385133,1027.0068506209025,1830910
2021-06-25,1029.003173828125,1034.1779067053753,1020.8049868964767,1022.7431015029659,2320365
2021-06-28,1047.405517578125,1050.4483715748295,1029.633040521838,1032.821276766412,2964815
2021-06-29,1052.9969482421875,1057.2317235480987,1042.7055653309617,1048.7136727581867,2881305
2021-06-30,1051.049072265625,1059.9159689395394,1047.5507901126884,1054.140426118893,2340440
2021-07-01,1077.301025390625,1081.4680193775237,1048.985197574695,1051.621005217234,4157750
2021-07-02,1080.6343994140625,1085.3440029459587,1068.191738788074,1081.4677743640088,2858690
2021-07-05,1073.3084716796875,1084.568913087981,1072.1553502412316,1080.7314839267679,1486705
2021-07-06,1073.6087646484375,1077.8241396886676,1068.6762967642653,1073.6765466015188,890540
2021-07-07,1077.9986572265625,1088.1737578663667,1068.879795816818,1071.5835032691916,2692540
2021-07-08,1059.5185546875,1083.0181893194965,1056.19475508472,1073.7152648351412,2255835
2021-07-09,1063.13037109375,1074.8027353258929,1054.690004683089,1060.7354579747912,2304980
2021-07-12,1069.750244140625,1070.860058825614,1059.177949092971,1070.8405696288758,913295
2021-07-13,1058.61328125,1077.4798918793208,1057.036201301765,1069.750168027845,1852410
2021-07-14,1049.6083984375,1062.8578436505559,1045.0620679457572,1058.6133580355422,2506775
2021-07-15,1050.153564453125,1058.8859134908644,1045.7825176347733,1053.3369585635596,1518410
2021-07-16,1052.665283203125,1061.1250210541955,1048.2455134363524,1050.0269924795255,2189520
2021-07-19,1055.1573486328125,1060.1514552830631,1047.9047530619666,1051.0004455840137,1204290
2021-07-20,1040.496337890625,1058.3990660020322,1036.319945744941,1058.3990660020322,1322140
2021-07-22,1048.3720703125,1050.2217615405218,1037.0891320764244,1050.2217615405218,929240
2021-07-23,1055.70263671875,1057.6204213268313,1043.6213542419014,1047.7880021492351,1533805
2021-07-26,1053.580322265625,1060.5409367506102,1051.350948189885,1055.0893090467416,934695
2021-07-27,943.0090942382812,1060.1417226125811,930.6747499116137,1058.7885306300414,29369105
2021-07-28,921.2803344726562,949.1421608100459,908.5760523054523,948.1881408836781,16190650
2021-07-29,909.7734985351562,927.7541833046618,907.3104919621666,924.8336559700197,5434680
2021-07-30,917.2791748046875,935.5422144288707,910.7372223879354,912.177996794851,6866000
2021-08-02,915.400390625,924.9310238562841,912.6843214747233,922.6919646847526,3781730
2021-08-03,919.3236694335938,920.832596753083,913.4826144536742,920.6281384382036,2991305
2021-08-04,928.494140625,936.5158468960614,920.0830069080813,920.0830069080813,5520990
2021-08-05,931.12255859375,936.3210640442525,923.276077427147,933.400536670803,2969750
2021-08-06,931.9013671875,935.7856591421897,926.0603123580039,934.2572426649443,1998185
2021-08-09,938.1707153320312,941.1496507497922,926.6443416432871,933.595210757489,2717725
2021-08-10,928.6790771484375,946.0270175487384,921.6308803211556,942.162155277363,3083355
2021-08-11,923.8309936523438,928.1339470819023,913.1516262878569,927.7542642348908,2633925
2021-08-12,918.2916870117188,925.4761294629891,913.2488576150507,924.7168232669243,3107090
2021-08-13,905.7918701171875,922.0689148398449,901.8589144800502,919.401509233911,3969475
2021-08-16,907.534423828125,912.4993561875192,897.3807304350128,903.4164991014594,2096145
2021-08-17,915.1958618164062,918.8368356848747,907.5343501146575,908.2839711196773,2130070
2021-08-18,912.5772094726562,925.8169699018853,910.23107850526,915.0986243796198,2768780
2021-08-20,887.0614624023438,907.2909496586789,877.7157398275633,907.2909496586789,4134540
2021-08-23,879.0494995117188,895.4336746001558,876.1582059528492,895.4336746001558,2837575
2021-08-24,893.1751708984375,894.7912293887624,865.58595439926,886.2827687820795,3084680
2021-08-25,885.6889038085938,894.5770474590202,880.7045415135951,889.7873988855092,2220705
2021-08-26,876.8396606445312,886.8473033223135,873.5102761505715,885.6888251134234,2408595
2021-08-27,895.7354736328125,897.7311554707558,877.3264420815154,877.3264420815154,2816975
2021-08-30,910.7859497070312,915.0985880503085,891.354685957424,899.3277281598276,3141835
2021-08-31,915.8871459960938,919.3333470151798,905.460841552533,910.7957121278642,3227635
2021-09-01,927.4524536132812,931.5412040112434,912.5675197934522,922.6919795112376,2814755
2021-09-02,946.1924438476562,954.8956176410902,936.5157609472085,936.7104746522674,6299320
2021-09-03,953.7566528320312,955.8399172160265,946.6987116270312,949.4050361157177,2156575
2021-09-06,957.1444702148438,962.469536781563,948.480214952337,961.8270468821439,3080995
2021-09-07,953.54248046875,959.091494580976,945.3844689301275,956.9595071374786,2101070
2021-09-08,956.2390747070312,961.8270075313105,946.503983537686,956.9594619466379,2500145
2021-09-09,956.385009765625,958.4099252481251,949.5801909411922,951.1183518935524,1812055
2021-09-13,960.152587890625,963.2288505161083,948.8014384604764,959.6658333384847,1493265
2021-09-14,960.0260620117188,971.3674078397812,958.6631254486423,963.7545592361083,1549905
2021-09-15,966.2273559570312,968.6416397235965,957.7188951813597,961.2429936799566,1601600
2021-09-16,960.2597045898438,972.8276815704794,957.2612797711587,969.8098269732296,1482575
2021-09-17,951.0308227539062,965.2830113475146,948.0129680763442,960.4641290438141,2274150
2021-09-20,929.6914672851562,951.2254843189803,924.4832172476775,949.1713943311231,1660330
2021-09-21,945.0144653320312,947.0296362900615,923.9087952701954,928.4842999030459,1701950
2021-09-22,943.59326171875,949.9113267887275,936.9149435874244,945.1216782612305,1253645
2021-09-23,934.0431518554688,947.9253430385048,928.7277702702573,947.594383187072,2800365
2021-09-24,932.68994140625,938.6769871750062,930.2950874477767,935.7370298741429,1258075
2021-09-27,932.9430541992188,935.6688679760066,921.5237512958516,934.0431243085038,1130285
2021-09-28,941.023193359375,945.1021992434037,925.826729159403,936.4963518572321,1527230
2021-09-29,950.3396606445312,958.4976722169001,932.9430565848852,940.9939369909954,3275350
2021-09-30,950.28125,970.5886369090427,947.31205893223,952.0724735882611,3880075
2021-10-01,964.9130249023438,967.6680723692463,944.7419443089432,944.8879350270439,1710665
2021-10-04,981.8228149414062,988.50113231184,963.7739781948823,964.747487263766,3801765
2021-10-05,980.2457275390625,983.2441520855103,967.6680071019775,980.7324820697979,1774235
2021-10-06,965.0591430664062,981.7256157442753,955.3629700860998,976.9164779405123,2646320
2021-10-07,952.3060913085938,971.5426416016697,950.7193260603865,968.8168278678555,1719870
2021-10-08,944.1481323242188,963.121815992922,938.6575265035156,955.333742857723,1741550
2021-10-11,952.9388427734375,958.2249900274533,940.0009282954835,948.1978582357212,3440320
2021-10-12,956.0443115234375,965.1369123490955,945.4720173210461,954.038885223067,1427440
2021-10-13,959.5781860351562,962.9952124790907,952.1113878839942,955.7912213801914,1207980
2021-10-14,965.4679565429688,975.3880171749367,956.7745269489956,958.7118006538387,1460300
2021-10-18,949.6581420898438,968.6318252424073,947.3509302397666,962.8005151479811,1668255
2021-10-19,934.9192504882812,957.9330214843295,932.6217831117762,955.0124939798042,2698595
2021-10-20,925.5930786132812,943.2233154490195,918.6032304737172,934.7732629704683,1580485
2021-10-21,905.6847534179688,932.3881013659717,895.6283876026594,930.6747158131982,2584000
2021-10-22,902.919921875,912.7231653840396,894.3141349318577,906.3369482329424,1814980
2021-10-25,910.4548950195312,914.9038387291038,883.3621795941029,905.5386859566088,1380835
2021-10-26,908.5176391601562,914.8649376190679,902.8323791891237,914.1250611829639,1363565
2021-10-27,907.836181640625,920.5502084868627,904.7890933138169,906.434326118329,1929040
2021-10-28,889.777587890625,913.0931431146583,886.0977543277293,910.2310239353923,1341975
2021-10-29,907.15478515625,957.5143940653278,881.2302319475858,894.2654742029524,9725820
2021-11-01,934.8511352539062,941.3736588262389,901.2845568012614,912.178127207288,3383505
2021-11-02,924.0743408203125,935.3475935849576,919.3820789344238,934.5395643411156,2046660
2021-11-03,929.0489501953125,934.2280257049237,925.5248520289456,926.5859436670332,1862160
2021-11-04,927.9780883789062,932.3588794610872,925.6124683247223,929.7012185517476,104180
2021-11-08,932.3783569335938,936.5450044756955,915.3127135894871,926.7806795100822,1191260
2021-11-09,933.0792846679688,941.3833462221207,929.7596446169591,932.621763889133,1249435
2021-11-10,940.2832641601562,944.2941170458419,929.5065108975907,931.4730183655865,1711170
2021-11-11,937.4795532226562,944.1773008307482,931.4535292950302,940.6045389393076,1586300
2021-11-12,942.9896850585938,948.1979353716066,937.4893344587855,944.3038986760353,1166710
2021-11-15,948.9085693359375,953.8442679324181,941.0036796700223,942.5515853863345,1337395
2021-11-16,937.99560546875,954.2337318304061,934.0528456654163,954.2337318304061,1679855
2021-11-17,928.3966674804688,939.4070530878129,924.8531394940618,937.9955124193506,983295
2021-11-18,909.5398559570312,928.2799073746228,905.5776665271178,926.7418056757979,1168320
2021-11-22,897.108154296875,913.0736684100364,892.0458949270309,910.5133346395212,910090
2021-11-23,901.84912109375,907.6706865733246,886.1853333277667,895.6283836037668,1063495
2021-11-24,895.2487182617188,906.0643904535452,893.0194037409078,901.2553123849304,996290
2021-11-25,893.992919921875,914.3197955036876,892.7078807278199,898.3542218520384,2726870
2021-11-26,925.0089111328125,938.462814630426,890.984754673084,891.7343757276662,5361365
2021-11-29,914.63134765625,951.118452064484,908.4008652469583,944.3038879248204,4500925
2021-11-30,910.396484375,924.4929364849548,905.3634589874248,917.8049337510586,3589115
2021-12-01,896.8648071289062,917.5128984833839,893.6814131466572,914.3198193208468,2127105
2021-12-02,907.845947265625,909.0628337048901,897.3904684863852,897.5559484050059,1163740
2021-12-03,894.9469604492188,908.0893341319054,892.3184738290247,905.7918667707276,2738865
2021-12-06,875.905029296875,897.4293002832842,873.1013184597053,897.4293002832842,1336375
2021-12-07,880.1885986328125,885.8933481307165,864.7292681998819,880.0522930880963,2662500
2021-12-08,889.9237060546875,893.6230290965542,881.4639088087977,881.4639088087977,979280
2021-12-09,894.5088500976562,899.1233333355848,888.8819981623401,895.6284093766901,1130885
2021-12-10,894.3239135742188,899.4251515683546,890.4688552645553,897.5754603664461,802565
2021-12-13,895.5895385742188,910.8151771946946,889.0961894758057,910.8151771946946,1355025
